z_m,z_cm,B_T,B_mT,beam_radius_mm,s_local,eta_design,v_design_m_s,delta_eff_MHz
4.467750000000000193e-02,4.467750000000000554e+00,-4.295565631607409056e-03,-4.295565631607408896e+00,6.223725806451612996e+00,9.666211929177062068e-01,4.915136663831094488e-01,2.633225814875052606e+02,0.000000000000000000e+00
4.476999999999999730e-02,4.476999999999999424e+00,-4.279138466535050214e-03,-4.279138466535050256e+00,6.224322580645161196e+00,9.664358468269053093e-01,4.914657390864658471e-01,2.632308669477348531e+02,0.000000000000000000e+00
4.486249999999999960e-02,4.486250000000000071e+00,-4.262707178579464712e-03,-4.262707178579464795e+00,6.224919354838709395e+00,9.662505540401499227e-01,4.914178165416143718e-01,2.631391293894864134e+02,0.000000000000000000e+00
4.495500000000000190e-02,4.495499999999999829e+00,-4.246271763268112155e-03,-4.246271763268111954e+00,6.225516129032258483e+00,9.660653145370022843e-01,4.913698987485090042e-01,2.630473687877893667e+02,0.000000000000000000e+00
4.504749999999999727e-02,4.504749999999999588e+00,-4.229832216121177588e-03,-4.229832216121177879e+00,6.226112903225807571e+00,9.658801282970342905e-01,4.913219857071035590e-01,2.629555851176323813e+02,0.000000000000000000e+00
4.513999999999999957e-02,4.514000000000000234e+00,-4.213388532651457866e-03,-4.213388532651458185e+00,6.226709677419355771e+00,9.656949952998282738e-01,4.912740774173515179e-01,2.628637783539630277e+02,0.000000000000000000e+00
4.523250000000000187e-02,4.523249999999999993e+00,-4.196940708364428445e-03,-4.196940708364428119e+00,6.227306451612903082e+00,9.655099155249755594e-01,4.912261738792061960e-01,2.627719484716878355e+02,0.000000000000000000e+00
4.532499999999999724e-02,4.532499999999999751e+00,-4.180488738758165318e-03,-4.180488738758165290e+00,6.227903225806451282e+00,9.653248889520772424e-01,4.911782750926205199e-01,2.626800954456721229e+02,0.000000000000000000e+00
4.541749999999999954e-02,4.541750000000000398e+00,-4.164032619323360628e-03,-4.164032619323360329e+00,6.228499999999999481e+00,9.651399155607446323e-01,4.911303810575471940e-01,2.625882192507399964e+02,0.000000000000000000e+00
4.551000000000000184e-02,4.551000000000000156e+00,-4.147572345543273226e-03,-4.147572345543273364e+00,6.229096774193548569e+00,9.649549953305982530e-01,4.910824917739387008e-01,2.624963198616740101e+02,0.000000000000000000e+00
4.560249999999999720e-02,4.560249999999999915e+00,-4.131107912893785920e-03,-4.131107912893785539e+00,6.229693548387096769e+00,9.647701282412695090e-01,4.910346072417474117e-01,2.624043972532155635e+02,0.000000000000000000e+00
4.569499999999999951e-02,4.569499999999999673e+00,-4.114639316843297055e-03,-4.114639316843296868e+00,6.230290322580645856e+00,9.645853142723980200e-01,4.909867274609252541e-01,2.623124514000642193e+02,0.000000000000000000e+00
4.578750000000000181e-02,4.578750000000000320e+00,-4.098166552852755204e-03,-4.098166552852755551e+00,6.230887096774194056e+00,9.644005534036345084e-01,4.909388524314239888e-01,2.622204822768780446e+02,0.000000000000000000e+00
4.587999999999999717e-02,4.588000000000000078e+00,-4.081689616375630547e-03,-4.081689616375630436e+00,6.231483870967742256e+00,9.642158456146386891e-01,4.908909821531951545e-01,2.621284898582732694e+02,0.000000000000000000e+00
4.597249999999999948e-02,4.597249999999999837e+00,-4.065208502857903597e-03,-4.065208502857903916e+00,6.232080645161289567e+00,9.640311908850802691e-01,4.908431166261900125e-01,2.620364741188243443e+02,0.000000000000000000e+00
4.606500000000000178e-02,4.606500000000000483e+00,-4.048723207738038309e-03,-4.048723207738038177e+00,6.232677419354838655e+00,9.638465891946380593e-01,4.907952558503593798e-01,2.619444350330637690e+02,0.000000000000000000e+00
4.615749999999999714e-02,4.615749999999999353e+00,-4.032233726446963866e-03,-4.032233726446963651e+00,6.233274193548386855e+00,9.636620405230018616e-01,4.907473998256543513e-01,2.618523725754819225e+02,0.000000000000000000e+00
4.624999999999999944e-02,4.625000000000000000e+00,-4.015740054408065141e-03,-4.015740054408064807e+00,6.233870967741935942e+00,9.634775448498701378e-01,4.906995485520251887e-01,2.617602867205271195e+02,0.000000000000000000e+00
4.634250000000000175e-02,4.634249999999999758e+00,-3.999242187037193100e-03,-3.999242187037193030e+00,6.234467741935484142e+00,9.632931021549517858e-01,4.906517020294224318e-01,2.616681774426055540e+02,0.000000000000000000e+00
4.643499999999999711e-02,4.643499999999999517e+00,-3.982740119742560723e-03,-3.982740119742560925e+00,6.235064516129032341e+00,9.631087124179645853e-01,4.906038602577957874e-01,2.615760447160808440e+02,0.000000000000000000e+00
4.652749999999999941e-02,4.652750000000000163e+00,-3.966233847924824536e-03,-3.966233847924824474e+00,6.235661290322581429e+00,9.629243756186368630e-01,4.905560232370953511e-01,2.614838885152743728e+02,0.000000000000000000e+00
4.662000000000000172e-02,4.661999999999999922e+00,-3.949723366976999606e-03,-3.949723366976999550e+00,6.236258064516128741e+00,9.627400917367057165e-01,4.905081909672703300e-01,2.613917088144648915e+02,0.000000000000000000e+00
4.671249999999999708e-02,4.671249999999999680e+00,-3.933208672284489900e-03,-3.933208672284489893e+00,6.236854838709677828e+00,9.625558607519189014e-01,4.904603634482702090e-01,2.612995055878886319e+02,0.000000000000000000e+00
4.680499999999999938e-02,4.680500000000000327e+00,-3.916689759225048389e-03,-3.916689759225048473e+00,6.237451612903226028e+00,9.623716826440338323e-01,4.904125406800440845e-01,2.612072788097390799e+02,0.000000000000000000e+00
4.689750000000000169e-02,4.689750000000000085e+00,-3.900166623168732378e-03,-3.900166623168732194e+00,6.238048387096774228e+00,9.621875573928165837e-01,4.903647226625406641e-01,2.611150284541668043e+02,0.000000000000000000e+00
4.698999999999999705e-02,4.698999999999999844e+00,-3.883639259477927354e-03,-3.883639259477927208e+00,6.238645161290322427e+00,9.620034849780436659e-01,4.903169093957084335e-01,2.610227544952795711e+02,0.000000000000000000e+00
4.708249999999999935e-02,4.708249999999999602e+00,-3.867107663507320103e-03,-3.867107663507320048e+00,6.239241935483870627e+00,9.618194653795012483e-01,4.902691008794957672e-01,2.609304569071421156e+02,0.000000000000000000e+00
4.717500000000000165e-02,4.717500000000000249e+00,-3.850571830603870087e-03,-3.850571830603870094e+00,6.239838709677419715e+00,9.616354985769849373e-01,4.902212971138508180e-01,2.608381356637759723e+02,0.000000000000000000e+00
4.726749999999999702e-02,4.726750000000000007e+00,-3.834031756106782551e-03,-3.834031756106782485e+00,6.240435483870968802e+00,9.614515845502996649e-01,4.901734980987210721e-01,2.607457907391595313e+02,0.000000000000000000e+00
4.735999999999999932e-02,4.735999999999999766e+00,-3.817487435347526308e-03,-3.817487435347526326e+00,6.241032258064516114e+00,9.612677232792619098e-01,4.901257038340545158e-01,2.606534221072278683e+02,0.000000000000000000e+00
4.745250000000000162e-02,4.745250000000000412e+00,-3.800938863649798612e-03,-3.800938863649798716e+00,6.241629032258064314e+00,9.610839147436950336e-01,4.900779143197982468e-01,2.605610297418726873e+02,0.000000000000000000e+00
4.754499999999999699e-02,4.754499999999999282e+00,-3.784386036329457498e-03,-3.784386036329457692e+00,6.242225806451612513e+00,9.609001589234339447e-01,4.900301295558993075e-01,2.604686136169419797e+02,0.000000000000000000e+00
4.763749999999999929e-02,4.763749999999999929e+00,-3.767828948694601152e-03,-3.767828948694601277e+00,6.242822580645160713e+00,9.607164557983224329e-01,4.899823495423047404e-01,2.603761737062403654e+02,0.000000000000000000e+00
