z_m,B_T,target_region,z_mm,B_mT
-0.0052183098591549295,-0.008697204619243441,left_cubic_extension,-5.218309859154929,-8.697204619243442
-0.005126760563380281,-0.008683850739189961,left_cubic_extension,-5.126760563380281,-8.68385073918996
-0.005035211267605633,-0.008670494732983206,left_cubic_extension,-5.035211267605633,-8.670494732983206
-0.004943661971830986,-0.008657136598172905,left_cubic_extension,-4.943661971830986,-8.657136598172904
-0.004852112676056338,-0.008643776332308784,left_cubic_extension,-4.852112676056338,-8.643776332308784
-0.0047605633802816905,-0.008630413932940567,left_cubic_extension,-4.76056338028169,-8.630413932940566
-0.004669014084507041,-0.008617049397617982,left_cubic_extension,-4.669014084507041,-8.617049397617983
-0.0045774647887323935,-0.008603682723890758,left_cubic_extension,-4.577464788732393,-8.603682723890758
-0.004485915492957746,-0.00859031390930862,left_cubic_extension,-4.485915492957746,-8.59031390930862
-0.004394366197183098,-0.008576942951421297,left_cubic_extension,-4.394366197183098,-8.576942951421296
-0.004302816901408451,-0.00856356984777851,left_cubic_extension,-4.302816901408451,-8.56356984777851
-0.004211267605633803,-0.008550194595929993,left_cubic_extension,-4.211267605633803,-8.550194595929993
-0.004119718309859155,-0.008536817193425469,left_cubic_extension,-4.119718309859155,-8.536817193425469
-0.004028169014084506,-0.008523437637814666,left_cubic_extension,-4.028169014084506,-8.523437637814666
-0.003936619718309858,-0.008510055926647308,left_cubic_extension,-3.936619718309858,-8.510055926647308
-0.0038450704225352107,-0.008496672057473127,left_cubic_extension,-3.8450704225352106,-8.496672057473127
-0.003753521126760563,-0.008483286027841845,left_cubic_extension,-3.753521126760563,-8.483286027841844
-0.0036619718309859155,-0.008469897835303192,left_cubic_extension,-3.6619718309859155,-8.469897835303192
-0.003570422535211268,-0.008456507477406892,left_cubic_extension,-3.570422535211268,-8.456507477406893
-0.0034788732394366202,-0.008443114951702673,left_cubic_extension,-3.4788732394366204,-8.443114951702674
