z_m,B_T,target_region,z_mm,B_mT
0.1109075,0.008913694649725775,original_variable_s_data,110.90750000000001,8.913694649725775
0.111,0.008934978487901507,original_variable_s_data,111.0,8.934978487901507
0.1110925,0.008956273613667763,original_variable_s_data,111.0925,8.956273613667763
0.111185,0.008977580048518716,original_variable_s_data,111.185,8.977580048518716
0.1112775,0.008998897814013942,original_variable_s_data,111.2775,8.998897814013942
0.11137,0.009020226931778666,original_variable_s_data,111.36999999999999,9.020226931778666
0.1114625,0.009041567423504048,original_variable_s_data,111.4625,9.041567423504048
0.111555,0.009062919310947527,original_variable_s_data,111.555,9.062919310947528
0.1116475,0.009084282615933005,original_variable_s_data,111.6475,9.084282615933006
0.11174,0.009105657360351202,original_variable_s_data,111.74000000000001,9.105657360351202
0.1118325,0.009127043566159903,original_variable_s_data,111.8325,9.127043566159903
0.111925,0.009148441255384289,original_variable_s_data,111.925,9.148441255384288
0.1120175,0.00916985045011716,original_variable_s_data,112.01750000000001,9.169850450117162
0.11211,0.009191271172519297,original_variable_s_data,112.11,9.191271172519297
0.1122025,0.009212703444819689,original_variable_s_data,112.2025,9.212703444819688
0.112295,0.009234147289315885,original_variable_s_data,112.295,9.234147289315885
0.1123875,0.009255602728374257,original_variable_s_data,112.3875,9.255602728374257
0.11248,0.009277069784430275,original_variable_s_data,112.47999999999999,9.277069784430275
0.1125725,0.009298548479988865,original_variable_s_data,112.5725,9.298548479988865
0.112665,0.00932003883762466,original_variable_s_data,112.665,9.32003883762466
0.1127575,0.009341540879982305,original_variable_s_data,112.7575,9.341540879982304
0.11285,0.009363054629776794,original_variable_s_data,112.85000000000001,9.363054629776794
0.1129425,0.009384580109793763,original_variable_s_data,112.9425,9.384580109793763
0.113035,0.009406117342889757,original_variable_s_data,113.035,9.406117342889758
0.1131275,0.009427666351992586,original_variable_s_data,113.12750000000001,9.427666351992585
0.11322,0.00944922716010163,original_variable_s_data,113.22,9.449227160101628
0.1133125,0.009470799790288113,original_variable_s_data,113.3125,9.470799790288114
0.113405,0.009492384265695467,original_variable_s_data,113.405,9.492384265695467
0.1134975,0.009513980609539618,original_variable_s_data,113.4975,9.513980609539619
