z_m,z_mm,B_T,B_mT,in_original_range,B_original_interp_mT,B_degree6_unanchored_mT,B_original_T,B_original_mT,equivalent_detuning_MHz,field_offset_removed_mT
0.0997091666666666,99.70916666666666,0.011662851226337,11.662851226336999,True,16.917994243239654,16.919322022939717,0.0169179942432396,16.917994243239654,-526.447731260968,5.2551430169026006
0.099885,99.885,0.011688069888978598,11.688069888978598,True,16.943212905881282,16.944895067965767,0.0169432129058812,16.943212905881282,-526.447731260968,5.2551430169026006
0.1000608333333333,100.06083333333332,0.0117132885516203,11.7132885516203,True,16.968431568522913,16.9704930765469,0.0169684315685229,16.968431568522913,-526.447731260968,5.2551430169026006
0.1002341137123745,100.23411371237458,0.0117381410601783,11.7381410601783,True,16.99328407708095,16.9957438513233,0.0169932840770809,16.99328407708095,-526.447731260968,5.2551430169026006
0.1002366666666666,100.23666666666666,0.011738508474328398,11.738508474328398,True,16.993651491231066,16.996116054390576,0.016993651491231,16.993651491231066,-526.447731260968,5.2551430169026006
0.1004125,100.4125,0.011763813923363897,11.763813923363898,True,17.01895694026657,17.02176400729328,0.0170189569402665,17.01895694026657,-526.447731260968,5.2551430169026006
0.1005883333333333,100.58833333333334,0.0117891193723994,11.7891193723994,True,17.044262389302073,17.047436941151215,0.017044262389302,17.044262389302073,-526.447731260968,5.2551430169026006
0.1007641666666666,100.76416666666668,0.0118144248214349,11.8144248214349,True,17.06956783833758,17.07313486197097,0.0170695678383375,17.06956783833758,-526.447731260968,5.2551430169026006
0.1008528428093645,100.85284280936456,0.0118271868476513,11.8271868476513,True,17.08232986455392,17.086104299486006,0.0170823298645539,17.08232986455392,-526.447731260968,5.2551430169026006
0.10094,100.94,0.011839773736016298,11.839773736016298,True,17.094916752918905,17.098857775880386,0.0170949167529189,17.094916752918905,-526.447731260968,5.2551430169026006
0.1011158333333333,101.11583333333334,0.011865166873649198,11.865166873649198,True,17.120309890551887,17.1246056891394,0.0171203098905518,17.120309890551887,-526.447731260968,5.2551430169026006
0.1012916666666666,101.29166666666669,0.011890560011282199,11.890560011282199,True,17.145703028184865,17.150378608151044,0.0171457030281848,17.145703028184865,-526.447731260968,5.2551430169026006
0.1014675,101.4675,0.0119159531489152,11.9159531489152,True,17.171096165817847,17.176176539472507,0.0171710961658178,17.171096165817847,-526.447731260968,5.2551430169026006
0.1014715719063545,101.47157190635453,0.0119165411971341,11.9165411971341,True,17.171684214036738,17.176774258181744,0.0171716842140367,17.171684214036738,-526.447731260968,5.2551430169026006
0.1016433333333333,101.64333333333332,0.011941432841161,11.941432841161001,True,17.196575858063635,17.201999489826257,0.0171965758580636,17.196575858063635,-526.447731260968,5.2551430169026006
0.1018191666666666,101.81916666666667,0.0119669145853359,11.9669145853359,True,17.22205760223857,17.227847466111275,0.0172220576022385,17.22205760223857,-526.447731260968,5.2551430169026006
0.101995,101.995,0.0119923963295109,11.9923963295109,True,17.247539346413504,17.253720475414383,0.0172475393464135,17.247539346413504,-526.447731260968,5.2551430169026006
0.1020903010033444,102.09030100334448,0.012006207338725098,12.006207338725098,True,17.261350355627755,17.26775401217277,0.0172613503556277,17.261350355627755,-526.447731260968,5.2551430169026006
0.1021708333333333,102.17083333333332,0.012017919083624998,12.017919083624998,True,17.273062100527678,17.279618525021593,0.0172730621005276,17.273062100527678,-526.447731260968,5.2551430169026006
0.1023466666666666,102.34666666666666,0.012043490368414497,12.043490368414497,True,17.298633385317135,17.305541622429622,0.0172986333853171,17.298633385317135,-526.447731260968,5.2551430169026006
0.1025225,102.5225,0.0120690616532039,12.0690616532039,True,17.324204670106596,17.331489775357433,0.0173242046701065,17.324204670106596,-526.447731260968,5.2551430169026006
0.1026983333333333,102.69833333333334,0.0120946329379934,12.0946329379934,True,17.34977595489605,17.35746299175787,0.017349775954896,17.34977595489605,-526.447731260968,5.2551430169026006
0.1027090301003344,102.70903010033445,0.012096188559274797,12.096188559274797,True,17.351331576177444,17.359043873348725,0.0173513315761774,17.351331576177444,-526.447731260968,5.2551430169026006
0.1028741666666666,102.87416666666668,0.012120289208992198,12.120289208992197,True,17.375432225894848,17.38346127982941,0.0173754322258948,17.375432225894848,-526.447731260968,5.2551430169026006
0.10305,103.05,0.012145950984996299,12.145950984996299,True,17.401094001898986,17.40948464802794,0.0174010940018989,17.401094001898986,-526.447731260968,5.2551430169026006
0.1032258333333333,103.22583333333334,0.0121716127610005,12.171612761000501,True,17.42675577790312,17.435533105078665,0.0174267557779031,17.42675577790312,-526.447731260968,5.2551430169026006
0.1033277591973244,103.3277591973244,0.0121864882037916,12.186488203791601,True,17.441631220694216,17.45064418688522,0.0174416312206942,17.441631220694216,-526.447731260968,5.2551430169026006
0.1034016666666666,103.40166666666669,0.012197312979574,12.197312979574,True,17.45245599647664,17.461606659988078,0.0174524559964766,17.45245599647664,-526.447731260968,5.2551430169026006
0.1035775,103.5775,0.0122230662143329,12.2230662143329,True,17.478209231235567,17.487705322056037,0.0174782092312355,17.478209231235567,-526.447731260968,5.2551430169026006
0.1037533333333333,103.75333333333332,0.0122488194490918,12.2488194490918,True,17.503962465994494,17.51382910088787,0.0175039624659944,17.503962465994494,-526.447731260968,5.2551430169026006
0.1039291666666666,103.92916666666667,0.0122745726838508,12.2745726838508,True,17.529715700753417,17.53997800640665,0.0175297157007534,17.529715700753417,-526.447731260968,5.2551430169026006
0.1039464882943143,103.94648829431438,0.0122771096768928,12.2771096768928,True,17.532252693795417,17.542555337560795,0.0175322526937954,17.532252693795417,-526.447731260968,5.2551430169026006
0.104105,104.105,0.012300409255494797,12.300409255494797,True,17.55555227239749,17.56615204886545,0.0175555522723974,17.55555227239749,-526.447731260968,5.2551430169026006
0.1042808333333333,104.28083333333332,0.012326254933914298,12.326254933914297,True,17.581397950816914,17.592351238859788,0.0175813979508169,17.581397950816914,-526.447731260968,5.2551430169026006
0.1044566666666666,104.45666666666666,0.012352100612333699,12.352100612333698,True,17.607243629236336,17.618575587340057,0.0176072436292363,17.607243629236336,-526.447731260968,5.2551430169026006
0.1045652173913043,104.56521739130436,0.0123680564443025,12.3680564443025,True,17.623199461205136,17.634777756232115,0.0176231994612051,17.623199461205136,-526.447731260968,5.2551430169026006
0.1046325,104.6325,0.0123779820479984,12.3779820479984,True,17.633125064901076,17.644825105624108,0.017633125064901,17.633125064901076,-526.447731260968,5.2551430169026006
0.1048083333333333,104.80833333333334,0.012403921172789198,12.403921172789198,True,17.65906418969182,17.6710998054099,0.0176590641896918,17.65906418969182,-526.447731260968,5.2551430169026006
