z_mm,B_target_mT,B_sim_mT,residual_mT,in_active_0_185mm,acceptance_residual_with_start_0p1mT_deadband_mT
27.171875,8.044053880983196,8.0518727136859,0.0078188327027033,True,0.0
27.4609375,8.07493481078907,8.086554627693127,0.0116198169040574,True,0.0
27.75,8.105826315336845,8.12130396365199,0.0154776483151444,True,0.0
28.0390625,8.136757800422568,8.156103102635058,0.0193453022124898,True,0.0
28.328125,8.167708192560722,8.190934238634748,0.0232260460740259,True,0.0
28.6171875,8.198690475431887,8.225779467441518,0.0270889920096304,True,0.0
28.90625,8.22970009321706,8.260620876988964,0.0309207837719035,True,0.0
29.1953125,8.260733418250132,8.295440638610563,0.0347072203604314,True,0.0
29.484375,8.291802602985902,8.330221098630314,0.0384184956444128,True,0.0
29.7734375,8.322887216447276,8.364944869691566,0.0420576532442901,True,0.0
30.0625,8.354016312727927,8.399594921215524,0.0455786084875963,True,0.0455786084875963
30.3515625,8.38515246279322,8.434154668373056,0.0490022055798355,True,0.0490022055798355
30.640625,8.41634181854839,8.468608058951943,0.0522662404035534,True,0.0522662404035534
30.9296875,8.447531174303558,8.502939657505555,0.055408483201999,True,0.055408483201999
31.21875,8.478779721861978,8.537134726179431,0.0583550043174539,True,0.0583550043174539
31.5078125,8.51002968840198,8.571179301629025,0.0611496132270454,True,0.0611496132270454
31.796875,8.541330629458733,8.605060267464923,0.0637296380061897,True,0.0637296380061897
32.0859375,8.57264156152077,8.638765421691561,0.0661238601707917,True,0.0661238601707917
32.375,8.603995153571026,8.672283538641395,0.0682883850703693,True,0.0682883850703693
32.6640625,8.635367409366127,8.70560442494841,0.0702370155822827,True,0.0702370155822827
32.953125,8.666773911941563,8.738718969152847,0.0719450572112846,True,0.0719450572112846
33.2421875,8.698207853202444,8.771619184582246,0.0734113313798009,True,0.0734113313798009
33.53125,8.729667527892525,8.804298245212138,0.0746307173196125,True,0.0746307173196125
33.8203125,8.761163519922206,8.83675051427224,0.0755869943500336,True,0.0755869943500336
34.109375,8.792676630395762,8.868971565430403,0.076294935034641,True,0.076294935034641
34.3984375,8.824235042117136,8.900958196455443,0.0767231543383067,True,0.0767231543383067
34.68749999999999,8.855801854144175,8.932708435331474,0.0769065811872977,True,0.0769065811872977
34.97656249999999,8.8874230581504,8.964221538868603,0.0767984807182042,True,0.0767984807182042
35.26562499999999,8.919044262156621,8.995497983927496,0.0764537217708746,True,0.0764537217708746
35.5546875,8.950728212230016,9.026539451447109,0.0758112392170926,True,0.0758112392170926
35.84375,8.98241258483585,9.0573488035351,0.0749362186992508,True,0.0749362186992508
36.1328125,9.014151154483464,9.087930053947328,0.0737788994638645,True,0.0737788994638645
36.421875,9.045899075777504,9.11828833234642,0.0723892565689145,True,0.0723892565689145
36.7109375,9.077692541033493,9.148429842787747,0.0707373017542548,True,0.0707373017542548
37.0,9.109504394931395,9.178361816933784,0.0688574220023899,True,0.0688574220023899
37.2890625,9.141353034075198,9.20809246254372,0.0667394284685225,True,0.0667394284685225
37.578125,9.173229208373831,9.237630907823467,0.0644016994496357,True,0.0644016994496357
37.86718749999999,9.205133301954335,9.266987142251466,0.061853840297131,True,0.061853840297131
38.15624999999999,9.237074188386924,9.296171954516485,0.0590977661295618,True,0.0590977661295618
38.44531249999999,9.269034019246922,9.325196868215835,0.0561628489689127,True,0.0561628489689127
38.734375,9.301040013539234,9.354074075963968,0.0530340624247342,True,0.0530340624247342
39.0234375,9.333055866840192,9.382816372554116,0.0497605057139232,True,0.0497605057139232
39.3125,9.36512736876773,9.411437087797406,0.0463097190296756,True,0.0463097190296756
39.6015625,9.397199532014852,9.439950019636674,0.0427504876218207,True,0.0427504876218207
39.890625,9.429336945461108,9.46836936809505,0.039032422633943,True,0.039032422633943
40.1796875,9.461474358907362,9.496709670573638,0.0352353116662776,True,0.0352353116662776
40.46875,9.493669441544538,9.524985738958517,0.0313162974139788,True,0.0313162974139788
40.7578125,9.525873174560354,9.553212598935673,0.0273394243753156,True,0.0273394243753156
41.046875,9.558125561565806,9.581405431845104,0.0232798702792975,True,0.0232798702792975
41.33593749999999,9.590396026429794,9.609579519331888,0.0191834929020948,True,0.0191834929020948
41.62499999999999,9.6227060167829,9.637750190975709,0.0150441741928065,True,0.0150441741928065
41.91406249999999,9.65504363006306,9.665932775001032,0.0108891449379731,True,0.0108891449379731
42.203125,9.687411525253117,9.694142552090025,0.0067310268369071,True,0.0067310268369071
42.4921875,9.71981670786954,9.722394712241185,0.002578004371645,True,0.002578004371645
42.78125,9.752242811923622,9.750704314539608,-0.0015384973840147,True,-0.0015384973840147
43.0703125,9.78471598921243,9.779086249632,-0.0056297395804299,True,-0.0056297395804299
43.359375,9.817200608723594,9.80755520463206,-0.0096454040915336,True,-0.0096454040915336
43.6484375,9.84974221050208,9.836125630122002,-0.0136165803800783,True,-0.0136165803800783
43.9375,9.882285654657943,9.864811708864254,-0.0174739457936921,True,-0.0174739457936921
44.2265625,9.914896115290944,9.893627325796114,-0.0212687894948285,True,-0.0212687894948285
44.51562499999999,9.94750657592394,9.92258603884994,-0.0249205370739993,True,-0.0249205370739993
44.80468749999999,9.980178454370147,9.951701050123235,-0.0284774042469126,True,-0.0284774042469126
45.09374999999999,10.012858212837674,9.980985176918278,-0.0318730359193959,True,-0.0318730359193959
45.38281249999999,10.04558998586776,10.010450822179465,-0.0351391636882972,True,-0.0351391636882972
45.671875,10.078339485833968,10.040109943878855,-0.0382295419551117,True,-0.0382295419551117
45.9609375,10.111131475348737,10.069974022937206,-0.0411574524115301,True,-0.0411574524115301
46.25,10.143951165232185,10.100054029317294,-0.0438971359148915,True,-0.0438971359148915
46.5390625,10.176803695916623,10.130360385989874,-0.0464433099267493,True,-0.0464433099267493
46.828125,10.209694028961913,10.160902930547667,-0.0487910984142431,True,-0.0487910984142431
47.1171875,10.242607428317015,10.191690874329154,-0.0509165539878623,True,-0.0509165539878623
47.40625,10.275568862667818,10.222732759009917,-0.0528361036579005,True,-0.0528361036579005
47.69531249999999,10.308543461042868,10.254036410723192,-0.0545070503196777,True,-0.0545070503196777
47.98437499999999,10.3415764598164,10.285608891881004,-0.0559675679353971,True,-0.0559675679353971
48.27343749999999,10.374612590441645,10.31745645098114,-0.057156139460503,True,-0.057156139460503
48.56249999999999,10.407717621804553,10.349584470800192,-0.0581331510043602,True,-0.0581331510043602
48.8515625,10.440822653167464,10.381997415487437,-0.0588252376800286,True,-0.0588252376800286
49.140625,10.473993158070114,10.414698777184991,-0.0592943808851217,True,-0.0592943808851217
49.4296875,10.50717069531592,10.447691022904584,-0.0594796724113378,True,-0.0594796724113378
49.71875,10.540403886204365,10.480975542487553,-0.0594283437168122,True,-0.0594283437168122
50.0078125,10.573654407832404,10.514552598559757,-0.059101809272646,True,-0.059101809272646
50.296875,10.606950632066551,10.548421279464996,-0.0585293526015589,True,-0.0585293526015589
50.5859375,10.640274621862485,10.582579456216417,-0.0576951656460662,True,-0.0576951656460662
50.875,10.673634229900449,10.617023744543996,-0.0566104853564515,True,-0.0566104853564515
51.16406249999999,10.70703217701838,10.651749473135084,-0.0552827038832956,True,-0.0552827038832956
51.45312499999999,10.740455522453008,10.6867506591635,-0.0537048632895074,True,-0.0537048632895074
51.74218749999999,10.773927921499288,10.722019992178945,-0.0519079293203432,True,-0.0519079293203432
52.03124999999999,10.807415361095208,10.757548827382577,-0.0498665337126322,True,-0.0498665337126322
52.3203125,10.840962712213871,10.793327189245836,-0.0476355229680359,True,-0.0476355229680359
52.609375,10.874514605945054,10.82934378633811,-0.0451708196069419,True,-0.0451708196069419
52.8984375,10.908137414905012,10.86558603811563,-0.0425513767893809,True,-0.0425513767893809
53.1875,10.941760223864968,10.902040114289672,-0.0397201095752967,True,-0.0397201095752967
53.4765625,10.975452904276818,10.938690987238616,-0.0367619170381985,True,-0.0367619170381985
53.765625,11.009151682560828,10.975522497757302,-0.0336291848035269,True,-0.0336291848035269
54.0546875,11.042910064124,11.012517434251054,-0.030392629872946,True,-0.030392629872946
54.34374999999999,11.076685329019462,11.049657625283476,-0.0270277037359868,True,-0.0270277037359868
54.63281249999999,11.110509787463617,11.086924045179154,-0.0235857422844626,True,-0.0235857422844626
54.92187499999999,11.144362062155198,11.124296932169203,-0.0200651299859938,True,-0.0200651299859938
55.21093749999999,11.178252976669247,11.161755918351629,-0.0164970583176205,True,-0.0164970583176205
55.49999999999999,11.212182790333436,11.19928017052425,-0.012902619809187,True,-0.012902619809187
55.7890625,11.246140543607687,11.23684854073928,-0.0092920028684061,True,-0.0092920028684061
56.078125,11.280148431509328,11.274439725229168,-0.0057087062801594,True,-0.0057087062801594
56.3671875,11.314173409778176,11.312032430167257,-0.0021409796109195,True,-0.0021409796109195
56.65625,11.348259913368963,11.349605542558056,0.001345629189093,True,0.001345629189093
56.9453125,11.382352506454238,11.387138304403608,0.0047857979493699,True,0.0047857979493699
57.234375,11.41651817347333,11.4246104881685,0.0080923146951704,True,0.0080923146951704
57.5234375,11.450683840492422,11.46200257146927,0.0113187309768482,True,0.0113187309768482
57.81249999999999,11.484924159404905,11.499295908846872,0.0143717494419676,True,0.0143717494419676
58.10156249999999,11.51916954398158,11.5364728984459,0.0173033544643187,True,0.0173033544643187
58.39062499999999,11.553478828917068,11.57351714142272,0.0200383125056533,True,0.0200383125056533
58.67968749999999,11.587804491675609,11.6104135919383,0.022609100262692,True,0.022609100262692
58.96875,11.622183150086366,11.647148695659636,0.0249655455732689,True,0.0249655455732689
59.2578125,11.656589658253134,11.683710514797747,0.0271208565446132,True,0.0271208565446132
59.546875,11.691038101467692,11.72008883784782,0.0290507363801279,True,0.0290507363801279
59.8359375,11.725526028980491,11.756275272367972,0.0307492433874803,True,0.0307492433874803
60.125,11.760044672252429,11.79226331933465,0.0322186470822234,True,0.0322186470822234
60.4140625,11.794614599872208,11.82804842784239,0.0334338279701813,True,0.0334338279701813
60.703125,11.829203862429653,11.863628029170073,0.0344241667404199,True,0.0344241667404199
60.99218749999999,11.863856377854605,11.899001549511611,0.0351451716570101,True,0.0351451716570101
61.28124999999999,11.89851668295046,11.934170400961277,0.035653718010814,True,0.035653718010814
61.57031249999999,11.933252380932608,11.969137950648603,0.0358855697159959,True,0.0358855697159959
61.85937499999999,11.967988078914754,12.00390946822981,0.0359213893150571,True,0.0359213893150571
62.14843749999999,12.0028036383598,12.038492052256386,0.0356884138965878,True,0.0356884138965878
62.4375,12.037623120824072,12.072894536252496,0.0352714154284224,True,0.0352714154284224
62.7265625,12.072511190811792,12.10712737563494,0.0346161848231493,True,0.0346161848231493
63.01562499999999,12.107415066977753,12.141202516897614,0.0337874499198604,True,0.0337874499198604
63.3046875,12.142376090563063,12.175133250751845,0.0327571601887784,True,0.0327571601887784
63.59374999999999,12.177364977069248,12.208934051159575,0.0315690740903297,True,0.0315690740903297
63.8828125,12.212399401667248,12.242620402413582,0.0302210007463357,True,0.0302210007463357
64.171875,12.247473922698289,12.27620861660375,0.0287346939054616,True,0.0287346939054616
64.4609375,12.282582200141045,12.309715643957771,0.0271334438167302,True,0.0271334438167302
64.75,12.31774298755758,12.343158878654872,0.0254158910972905,True,0.0254158910972905
65.0390625,12.352925574151785,12.376555962780566,0.0236303886287821,True,0.0236303886287821
65.328125,12.388173267623277,12.409924591117568,0.0217513234942907,True,0.0217513234942907
65.6171875,12.42343062420874,12.443282319451304,0.0198516952425609,True,0.0198516952425609
65.90625,12.458765871349252,12.47664637900918,0.0178805076599293,True,0.0178805076599293
66.19531249999999,12.494101118489764,12.5100334995501,0.0159323810603375,True,0.0159323810603375
66.484375,12.529521919865342,12.543459743477836,0.0139378236124945,True,0.0139378236124945
