z_m,z_cm,B_T,B_mT
1.678929765886287839e-01,1.678929765886287839e+01,2.471269521429176122e-02,2.471269521429175953e+01
1.685618729096990120e-01,1.685618729096990265e+01,2.488004358337794764e-02,2.488004358337794741e+01
1.692307692307692402e-01,1.692307692307692335e+01,2.504896348716833046e-02,2.504896348716832932e+01
1.698996655518394960e-01,1.698996655518395116e+01,2.521950004907448639e-02,2.521950004907448672e+01
1.705685618729097242e-01,1.705685618729097186e+01,2.539170059413197247e-02,2.539170059413197222e+01
1.712374581939799523e-01,1.712374581939799612e+01,2.556561480238914857e-02,2.556561480238914896e+01
1.719063545150501804e-01,1.719063545150501682e+01,2.574129487631579560e-02,2.574129487631579494e+01
1.725752508361204085e-01,1.725752508361204107e+01,2.591879572383031655e-02,2.591879572383031771e+01
1.732441471571906644e-01,1.732441471571906533e+01,2.609817515876435706e-02,2.609817515876435579e+01
1.739130434782608925e-01,1.739130434782608958e+01,2.627949412083915165e-02,2.627949412083914993e+01
1.745819397993311206e-01,1.745819397993311384e+01,2.646281691752657220e-02,2.646281691752657395e+01
1.752508361204013487e-01,1.752508361204013454e+01,2.664821149051589330e-02,2.664821149051589444e+01
1.759197324414716046e-01,1.759197324414715879e+01,2.683574970991701308e-02,2.683574970991701392e+01
1.765886287625418327e-01,1.765886287625418305e+01,2.702550769981259052e-02,2.702550769981258938e+01
1.772575250836120608e-01,1.772575250836120730e+01,2.721756619934101451e-02,2.721756619934101451e+01
1.779264214046822890e-01,1.779264214046822801e+01,2.741201096416806191e-02,2.741201096416806138e+01
1.785953177257525171e-01,1.785953177257525226e+01,2.760893321401007919e-02,2.760893321401007938e+01
1.792642140468227729e-01,1.792642140468227652e+01,2.780843013283419013e-02,2.780843013283418941e+01
1.799331103678930011e-01,1.799331103678930077e+01,2.801060542951846338e-02,2.801060542951846344e+01
1.806020066889632292e-01,1.806020066889632147e+01,2.821556996815114196e-02,2.821556996815114360e+01
1.812709030100334573e-01,1.812709030100334573e+01,2.842344247884210848e-02,2.842344247884210873e+01
1.819397993311037132e-01,1.819397993311036998e+01,2.863435036198506978e-02,2.863435036198507078e+01
1.826086956521739413e-01,1.826086956521739424e+01,2.884843060144011775e-02,2.884843060144011773e+01
1.832775919732441694e-01,1.832775919732441849e+01,2.906583080522768398e-02,2.906583080522768370e+01
1.839464882943143975e-01,1.839464882943143920e+01,2.928671039619477195e-02,2.928671039619477057e+01
1.846153846153846256e-01,1.846153846153846345e+01,2.951124197994636073e-02,2.951124197994636233e+01
1.852842809364548815e-01,1.852842809364548771e+01,2.973961292340606202e-02,2.973961292340606377e+01
1.859531772575251096e-01,1.859531772575251196e+01,2.997202718505596192e-02,2.997202718505596053e+01
1.866220735785953377e-01,1.866220735785953266e+01,3.020870744770948538e-02,3.020870744770948590e+01
1.872909698996655659e-01,1.872909698996655692e+01,3.044989761727986965e-02,3.044989761727986988e+01
1.879598662207357940e-01,1.879598662207357762e+01,3.069586576736769989e-02,3.069586576736769956e+01
1.886287625418060498e-01,1.886287625418060543e+01,3.094690763091896557e-02,3.094690763091896457e+01
1.892976588628762780e-01,1.892976588628762613e+01,3.120335076855964077e-02,3.120335076855964118e+01
1.899665551839465061e-01,1.899665551839465039e+01,3.146555958114279072e-02,3.146555958114279150e+01
1.906354515050167342e-01,1.906354515050167464e+01,3.173394138539062381e-02,3.173394138539062226e+01
1.913043478260869901e-01,1.913043478260869890e+01,3.200895384192268406e-02,3.200895384192268267e+01
