z_m,z_cm,B_T,B_mT
4.284280936454849809e-02,4.284280936454849531e+00,6.658267304646890011e-03,6.658267304646890317e+00
4.354515050167224316e-02,4.354515050167224288e+00,6.764358384735007571e-03,6.764358384735007945e+00
4.424749163879598823e-02,4.424749163879599045e+00,6.870670148207533648e-03,6.870670148207533856e+00
4.494983277591973331e-02,4.494983277591972914e+00,6.977203977972055299e-03,6.977203977972055604e+00
4.565217391304347838e-02,4.565217391304347672e+00,7.083961271440001282e-03,7.083961271440001539e+00
4.635451505016722346e-02,4.635451505016722429e+00,7.190943440740575968e-03,7.190943440740576342e+00
4.705685618729096853e-02,4.705685618729097186e+00,7.298151912938665754e-03,7.298151912938665831e+00
4.775919732441471360e-02,4.775919732441471055e+00,7.405588130256936588e-03,7.405588130256936630e+00
4.846153846153846562e-02,4.846153846153846700e+00,7.513253550302198894e-03,7.513253550302199102e+00
4.916387959866221069e-02,4.916387959866221458e+00,7.621149646296127532e-03,7.621149646296127678e+00
4.986622073578595576e-02,4.986622073578595327e+00,7.729277907310470354e-03,7.729277907310470042e+00
5.056856187290970084e-02,5.056856187290970084e+00,7.837639838506833823e-03,7.837639838506833989e+00
5.127090301003344591e-02,5.127090301003344841e+00,7.946236961381089939e-03,7.946236961381090147e+00
5.197324414715719099e-02,5.197324414715718710e+00,8.055070814012682892e-03,8.055070814012683655e+00
5.267558528428093606e-02,5.267558528428093467e+00,8.164142951318729621e-03,8.164142951318730468e+00
5.337792642140468113e-02,5.337792642140468224e+00,8.273454945313259493e-03,8.273454945313259756e+00
5.408026755852842621e-02,5.408026755852842982e+00,8.383008385371579219e-03,8.383008385371578441e+00
5.478260869565217822e-02,5.478260869565217739e+00,8.492804878499826335e-03,8.492804878499827126e+00
5.548494983277592330e-02,5.548494983277592496e+00,8.602846049610013077e-03,8.602846049610013424e+00
5.618729096989966837e-02,5.618729096989967253e+00,8.713133541800711576e-03,8.713133541800711868e+00
5.688963210702341344e-02,5.688963210702341122e+00,8.823669016643094151e-03,8.823669016643094665e+00
5.759197324414715852e-02,5.759197324414715879e+00,8.934454154473211659e-03,8.934454154473211673e+00
5.829431438127090359e-02,5.829431438127090637e+00,9.045490654689902765e-03,9.045490654689903209e+00
5.899665551839464867e-02,5.899665551839464506e+00,9.156780236058962089e-03,9.156780236058962075e+00
5.969899665551839374e-02,5.969899665551839263e+00,9.268324637023582849e-03,9.268324637023582113e+00
6.040133779264213881e-02,6.040133779264214020e+00,9.380125616021169413e-03,9.380125616021169677e+00
6.110367892976589083e-02,6.110367892976588777e+00,9.492184951806778223e-03,9.492184951806777349e+00
6.180602006688963590e-02,6.180602006688963534e+00,9.604504443783306797e-03,9.604504443783307366e+00
6.250836120401337404e-02,6.250836120401337404e+00,9.717085912338600806e-03,9.717085912338600195e+00
6.321070234113712605e-02,6.321070234113712161e+00,9.829931199189708216e-03,9.829931199189708479e+00
6.391304347826086418e-02,6.391304347826086030e+00,9.943042167734374159e-03,9.943042167734374104e+00
6.461538461538461620e-02,6.461538461538461675e+00,1.005642070341006972e-02,1.005642070341006900e+01
6.531772575250836821e-02,6.531772575250836432e+00,1.017006871406065348e-02,1.017006871406065294e+01
6.602006688963210634e-02,6.602006688963210301e+00,1.028398813031098681e-02,1.028398813031098769e+01
6.672240802675585836e-02,6.672240802675585947e+00,1.039818090594953580e-02,1.039818090594953581e+01
6.742474916387959649e-02,6.742474916387959816e+00,1.051264901831935536e-02,1.051264901831935461e+01
6.812709030100334850e-02,6.812709030100334573e+00,1.062739446871759953e-02,1.062739446871759874e+01
6.882943143812708664e-02,6.882943143812708442e+00,1.074241928280372446e-02,1.074241928280372527e+01
6.953177257525083865e-02,6.953177257525084087e+00,1.085772551101673103e-02,1.085772551101673145e+01
7.023411371237457679e-02,7.023411371237457956e+00,1.097331522900164835e-02,1.097331522900164913e+01
