magnet_id,stack_index,stack_side,magnet_index_on_side,longitudinal_x_mm,transverse_z_mm,distance_to_axis_mm,moment_orientation,magnet_diameter_mm,magnet_thickness_mm
153,14,lower,12,177.6,-66.66228727394572,66.66228727394572,1,8.0,3.0
154,14,lower,13,177.6,-69.66228727394572,69.66228727394572,1,8.0,3.0
155,14,lower,14,177.6,-72.66228727394572,72.66228727394572,1,8.0,3.0
156,14,lower,15,177.6,-75.66228727394572,75.66228727394572,1,8.0,3.0
157,15,upper,1,190.533,20.082389477828958,20.082389477828958,1,8.0,3.0
158,15,upper,2,190.533,23.082389477828954,23.082389477828954,1,8.0,3.0
159,15,upper,3,190.533,26.082389477828954,26.082389477828954,1,8.0,3.0
160,15,upper,4,190.533,29.082389477828954,29.082389477828954,1,8.0,3.0
161,15,upper,5,190.533,32.082389477828954,32.082389477828954,1,8.0,3.0
162,15,upper,6,190.533,35.082389477828954,35.082389477828954,1,8.0,3.0
163,15,upper,7,190.533,38.082389477828954,38.082389477828954,1,8.0,3.0
164,15,upper,8,190.533,41.082389477828954,41.082389477828954,1,8.0,3.0
165,15,upper,9,190.533,44.082389477828954,44.082389477828954,1,8.0,3.0
166,15,upper,10,190.533,47.082389477828954,47.082389477828954,1,8.0,3.0
167,15,upper,11,190.533,50.082389477828954,50.082389477828954,1,8.0,3.0
168,15,upper,12,190.533,53.082389477828954,53.082389477828954,1,8.0,3.0
169,15,upper,13,190.533,56.082389477828954,56.082389477828954,1,8.0,3.0
170,15,upper,14,190.533,59.082389477828954,59.082389477828954,1,8.0,3.0
171,15,upper,15,190.533,62.08238947782896,62.08238947782896,1,8.0,3.0
172,15,upper,16,190.533,65.08238947782897,65.08238947782897,1,8.0,3.0
173,15,upper,17,190.533,68.08238947782897,68.08238947782897,1,8.0,3.0
174,15,upper,18,190.533,71.08238947782895,71.08238947782895,1,8.0,3.0
175,15,upper,19,190.533,74.08238947782895,74.08238947782895,1,8.0,3.0
176,15,upper,20,190.533,77.08238947782895,77.08238947782895,1,8.0,3.0
177,15,upper,21,190.533,80.08238947782894,80.08238947782894,1,8.0,3.0
178,15,lower,1,190.533,-20.082389477828958,20.082389477828958,1,8.0,3.0
179,15,lower,2,190.533,-23.082389477828954,23.082389477828954,1,8.0,3.0
180,15,lower,3,190.533,-26.082389477828954,26.082389477828954,1,8.0,3.0
181,15,lower,4,190.533,-29.082389477828954,29.082389477828954,1,8.0,3.0
182,15,lower,5,190.533,-32.082389477828954,32.082389477828954,1,8.0,3.0
183,15,lower,6,190.533,-35.082389477828954,35.082389477828954,1,8.0,3.0
184,15,lower,7,190.533,-38.082389477828954,38.082389477828954,1,8.0,3.0
185,15,lower,8,190.533,-41.082389477828954,41.082389477828954,1,8.0,3.0
186,15,lower,9,190.533,-44.082389477828954,44.082389477828954,1,8.0,3.0
187,15,lower,10,190.533,-47.082389477828954,47.082389477828954,1,8.0,3.0
188,15,lower,11,190.533,-50.082389477828954,50.082389477828954,1,8.0,3.0
189,15,lower,12,190.533,-53.082389477828954,53.082389477828954,1,8.0,3.0
190,15,lower,13,190.533,-56.082389477828954,56.082389477828954,1,8.0,3.0
191,15,lower,14,190.533,-59.082389477828954,59.082389477828954,1,8.0,3.0
192,15,lower,15,190.533,-62.08238947782896,62.08238947782896,1,8.0,3.0
193,15,lower,16,190.533,-65.08238947782897,65.08238947782897,1,8.0,3.0
194,15,lower,17,190.533,-68.08238947782897,68.08238947782897,1,8.0,3.0
195,15,lower,18,190.533,-71.08238947782895,71.08238947782895,1,8.0,3.0
196,15,lower,19,190.533,-74.08238947782895,74.08238947782895,1,8.0,3.0
197,15,lower,20,190.533,-77.08238947782895,77.08238947782895,1,8.0,3.0
198,15,lower,21,190.533,-80.08238947782894,80.08238947782894,1,8.0,3.0
