z_mm,B_sim_mT
-3.75,-7.5570080433202405
-3.4999999999999996,-7.674191313262395
-3.2499999999999996,-7.791693878993153
-2.999999999999999,-7.909444654178165
-2.749999999999999,-8.027369797906013
-2.4999999999999987,-8.145392742415792
-2.2499999999999987,-8.263434229940012
-1.9999999999999982,-8.381412359050588
-1.7500000000000016,-8.499242640872728
-1.5000000000000013,-8.61683806550468
-1.250000000000001,-8.734109178950385
-1.0000000000000009,-8.850964170836793
-0.7500000000000007,-8.967308973148121
-0.5000000000000004,-9.083047370165557
-0.2500000000000002,-9.198081119752892
0.0,-9.312310086076412
0.2500000000000002,-9.425632383791084
0.5000000000000004,-9.537944533665298
0.7500000000000007,-9.649141629552386
1.0000000000000009,-9.759117516550539
1.250000000000001,-9.867764980122704
1.5000000000000013,-9.97497594587542
1.7500000000000016,-10.080641689621315
1.9999999999999982,-10.184653057273485
2.2499999999999987,-10.286900694043103
2.4999999999999987,-10.387275282333869
2.749999999999999,-10.485667787649746
2.999999999999999,-10.58196971175611
3.2499999999999996,-10.676073352259758
3.4999999999999996,-10.767872067701246
3.75,-10.857260547183934
4.0,-10.944135083499436
4.25,-11.0283938486491
4.500000000000001,-11.109937170606525
4.750000000000001,-11.188667810118263
5.000000000000001,-11.264491236298538
5.250000000000001,-11.337315899740695
5.500000000000002,-11.407053501842938
5.750000000000002,-11.473619259029958
6.000000000000002,-11.536932160545193
6.249999999999998,-11.596915218491631
6.499999999999999,-11.653495708812036
6.749999999999999,-11.706605401922838
6.999999999999999,-11.756180781749611
7.249999999999999,-11.802163251955756
7.5,-11.84449932821034
7.75,-11.883140815404653
8.0,-11.918044968800528
8.25,-11.949174638175686
8.5,-11.976498394122094
8.75,-11.999990635751512
9.000000000000002,-12.019631679167405
9.250000000000002,-12.035407826173392
9.500000000000002,-12.047311412804241
9.750000000000002,-12.055340837384888
9.999999999999998,-12.059500567945628
10.249999999999998,-12.059801128945328
10.499999999999998,-12.05625906737908
10.75,-12.048896898470478
11.0,-12.037743031270109
11.25,-12.022831674601191
11.5,-12.00420272390726
11.75,-11.981901629666893
12.0,-11.955979248143379
12.25,-11.926491675333803
12.5,-11.89350006507049
12.750000000000002,-11.85707043230775
13.000000000000002,-11.817273442697843
13.250000000000002,-11.774184189621353
13.500000000000002,-11.727881959888707
13.750000000000002,-11.678449989370769
14.000000000000002,-11.625975209847288
14.250000000000002,-11.570547988382865
14.500000000000002,-11.512261860550405
14.750000000000004,-11.451213258822577
15.000000000000004,-11.387501237442716
15.250000000000004,-11.32122719506804
15.500000000000004,-11.252494596451092
15.750000000000004,-11.181408694389921
16.000000000000004,-11.108076253134573
16.249999999999996,-11.032605274387759
16.499999999999996,-10.955104726981881
16.749999999999996,-10.875684281252967
16.999999999999996,-10.794454049066607
17.249999999999996,-10.711524330381147
17.499999999999996,-10.627005367160608
17.75,-10.541007105375149
18.0,-10.453638965750212
18.25,-10.365009623848392
18.5,-10.275226799990762
18.75,-10.184397059447708
19.0,-10.092625623253792
19.25,-10.000016189927322
19.5,-9.906670768303753
19.75,-9.812689521623332
20.0,-9.718170622947246
20.25,-9.623210121914568
20.5,-9.527901822793211
20.75,-9.43233717372362
21.0,-9.336605167002947
21.25,-9.240792250211149
21.5,-9.144982247938126
21.750000000000004,-9.049256293833032
22.000000000000004,-8.953692772663294
22.250000000000004,-8.858367272041376
22.500000000000004,-8.763352543452141
22.750000000000004,-8.66871847219214
23.000000000000004,-8.574532055815034
23.250000000000004,-8.480857390663543
23.500000000000004,-8.38775566605803
23.750000000000004,-8.295285165705204
23.999999999999996,-8.203501275886568
24.249999999999996,-8.112456499985377
24.499999999999996,-8.022200478912843
24.749999999999996,-7.932780016998443
24.999999999999996,-7.844239112915754
25.249999999999996,-7.756618995223754
25.5,-7.66995816211362
25.75,-7.58429242496303
26.0,-7.4996549553129555
26.25,-7.416076334896244
26.5,-7.333584608362558
26.75,-7.252205338360103
27.0,-7.17196166265131
27.25,-7.092874352956504
27.5,-7.014961875237028
27.75,-6.9382404511466715
28.0,-6.862724120397844
28.25,-6.788424803806256
28.5,-6.715352366795221
28.75,-6.643514683157564
29.0,-6.572917698889832
29.25,-6.503565495929626
29.500000000000004,-6.4354603556426335
29.750000000000004,-6.368602821921095
30.000000000000004,-6.302991763770027
30.250000000000004,-6.238624437271554
30.500000000000004,-6.175496546830949
30.750000000000004,-6.113602305620725
