atom_index,initial_velocity_m_s,in_0_to_210mps_design_window,initially_below_50mps,ideal_final_position_mm,ideal_final_velocity_m_s,ideal_exited_185mm,ideal_success_final_0_to_50mps,run05_200_magnets_final_position_mm,run05_200_magnets_final_velocity_m_s,run05_200_magnets_exited_185mm,run05_200_magnets_success_final_0_to_50mps
3980,398.4858930532143,False,False,185.00000000000003,398.44554715541886,True,False,185.00000000000003,398.44555865757536,True,False
3981,282.5570793549817,False,False,185.00000000000017,282.3170249009426,True,False,185.0000000000001,282.3172720304528,True,False
3982,547.0010455300613,False,False,185.0,546.9899287671382,True,False,185.0,546.9899302941943,True,False
3983,265.0018776419853,False,False,185.00000000000017,264.6271112760175,True,False,185.00000000000009,264.6276646780427,True,False
3984,131.98640007761352,True,False,185.0,33.154955672231225,True,True,185.0,32.91630592703644,True,True
3985,418.5816657777061,False,False,185.0,418.5490827546384,True,False,185.0,418.54909087377416,True,False
3986,203.09152555061857,True,False,185.0,33.167157823567265,True,True,184.99999999999997,32.932283929611984,True,True
3987,242.8762177606785,False,False,185.00000000000003,242.076993881838,True,False,185.0,242.07922588901704,True,False
3988,542.1909876150077,False,False,185.0,542.1794899354937,True,False,185.0,542.1794914957487,True,False
3989,318.6150670986277,False,False,185.0,318.4963436662373,True,False,185.0,318.49641500535716,True,False
3990,305.54778698305824,False,False,185.00000000000026,305.39817791929624,True,False,185.00000000000026,305.3982846739767,True,False
3991,115.25552426722024,True,False,185.0,33.13516171419136,True,True,185.0,32.89126294315346,True,True
3992,293.13306644839264,False,False,185.00000000000352,292.9422975744658,True,False,185.00000000000358,292.9424615729959,True,False
3993,38.16474910838201,True,True,184.99999999999952,27.43259651852284,True,True,184.99999999999955,27.24603092847995,True,True
3994,120.11939499630984,True,False,185.0,33.14297162498292,True,True,185.0,32.90106186046821,True,True
3995,340.01502325721344,False,False,185.00000000000003,339.9302461297391,True,False,185.0,339.930286052348,True,False
3996,376.9742450489004,False,False,185.00000000000097,376.9224735025899,True,False,185.00000000000094,376.9224908796481,True,False
3997,224.90668169365907,False,False,185.0000000000062,222.6719484510405,True,False,185.00000000000617,222.6868383299074,True,False
3998,593.1152774542493,False,False,185.00000000000003,593.1070779748472,True,False,185.00000000000003,593.1070789281066,True,False
3999,492.2165393781856,False,False,185.0,492.19979553860327,True,False,185.00000000000003,492.1997983506219,True,False
4000,122.12610083740432,True,False,185.0,33.14560896639938,True,True,185.0,32.90441843408123,True,True
4001,179.1006412909176,True,False,185.0,33.16649535130587,True,True,185.0,32.93146409579628,True,True
4002,219.75456651137875,False,False,185.0000000000247,216.05321330423612,True,False,185.0000000000244,216.09109968062862,True,False
4003,101.10429996762365,True,False,185.00000000000003,33.0947645959507,True,True,184.9999999999935,32.83916335011263,True,True
4004,357.63839115987463,False,False,185.00000000000003,357.57216508941843,True,False,185.00000000000006,357.5721913545762,True,False
4005,531.0152394287159,False,False,185.00000000000014,531.0027859787506,True,False,185.00000000000017,531.0027877152145,True,False
4006,607.9608563900678,False,False,185.00000000000003,607.9533739515741,True,False,185.00000000000006,607.9533747583354,True,False
4007,268.9751519787161,False,False,185.00000000000207,268.6392386766867,True,False,185.00000000000213,268.63969206374776,True,False
4008,205.95293397439943,True,False,185.0,33.16721503450967,True,True,185.0,32.93239291970172,True,True
4009,291.64655363675666,False,False,185.0000000000001,291.4497963935265,True,False,185.00000000000009,291.449969628202,True,False
4010,404.5000782644888,False,False,185.0,404.46229962029616,True,False,185.0,404.4623099742743,True,False
4011,278.4656398042391,False,False,185.00000000000003,278.2014606249157,True,False,185.00000000000006,278.2017542026254,True,False
4012,257.2661507996845,False,False,185.0000000000001,256.79355979730786,True,False,185.0000000000001,256.79440595231455,True,False
4013,350.4407623084804,False,False,185.0000000000006,350.36771828672323,True,False,185.00000000000063,350.36774926497736,True,False
4014,130.2062470268181,True,False,185.0,33.153632475337844,True,True,185.0,32.914632489970884,True,True
4015,333.94323378865664,False,False,185.00000000000006,333.850380870639,True,False,185.0,333.85042749651257,True,False
4016,127.90181954769236,True,False,184.99999999999966,33.15170842802804,True,True,184.99999999999997,32.91211896628896,True,True
4017,409.1431790887012,False,False,185.00000000000077,409.1072314917116,True,False,185.00000000000077,409.107240987314,True,False
4018,218.17703190274997,False,False,185.0000000000001,213.64077269652068,True,False,185.0000000000001,213.6965667322615,True,False
4019,432.99778565663325,False,False,185.0000000000002,432.9695604055899,True,False,185.0000000000002,432.9695668291331,True,False
4020,357.8011716604079,False,False,185.00000000000003,357.7350893756371,True,False,185.00000000000003,357.7351155387493,True,False
4021,287.6549863142642,False,False,185.00000000000003,287.44073911608035,True,False,185.0,287.4409407639964,True,False
4022,337.1821468687115,False,False,185.00000000000094,337.0937295279709,True,False,185.00000000000097,337.093772419745,True,False
4023,529.3485108753164,False,False,185.00000000000017,529.3359058018559,True,False,185.00000000000017,529.3359075563793,True,False
4024,137.3524750762289,True,False,185.0000000000072,33.15821808500097,True,True,184.9999999999933,32.92060636718883,True,True
4025,36.05707437886585,True,True,184.9999999999987,26.25654163119101,True,True,184.99999999999912,26.096870814320404,True,True
4026,454.4456128976171,False,False,185.00000000000014,454.4225184761954,True,False,185.00000000000014,454.4225231311087,True,False
4027,377.1199163586882,False,False,185.0000000000009,377.0682363586042,True,False,185.00000000000088,377.0682536854214,True,False
4028,227.33711109334877,False,False,185.00000000000043,225.48236708121635,True,False,185.0000000000003,225.49294051208517,True,False
4029,513.3239226999622,False,False,185.0,513.3097238514611,True,False,185.0,513.3097260348809,True,False
4030,101.5461287255304,True,False,185.0,33.096591329809826,True,True,185.0,32.841611227534166,True,True
4031,133.82036802394018,True,False,185.0,33.15618380226225,True,True,185.0,32.91792317045979,True,True
4032,318.17932929835325,False,False,185.00000000000003,318.0597286763608,True,False,185.0,318.05980092244585,True,False
4033,268.17698409121647,False,False,185.00000000000426,267.8337630149034,True,False,185.00000000000435,267.83423452704255,True,False
4034,273.226880685588,False,False,185.00000000000014,272.92626552512536,True,False,185.0000000000001,272.9266362148248,True,False
4035,478.2411088418528,False,False,185.0000000000001,478.2223295966538,True,False,185.0000000000001,478.2223329490193,True,False
4036,438.58318550094873,False,False,185.0,438.55643510503774,True,False,185.0,438.5564410085347,True,False
4037,380.4871082336485,False,False,185.0000000000002,380.43748360655695,True,False,185.00000000000023,380.4374997943773,True,False
4038,86.14680129582842,True,False,185.00000000000003,32.99305894868784,True,True,185.0,32.717025020752864,True,True
4039,328.31759269857,False,False,185.0,328.2162614536898,True,False,185.0,328.2163156663757,True,False
4040,253.2559231881941,False,False,185.00000000000742,252.7166043864211,True,False,185.00000000000753,252.71768327745085,True,False
4041,201.42928635260571,True,False,185.0,33.16712971806683,True,True,185.0,32.93223005002848,True,True
4042,205.73617901972963,True,False,185.0,33.167209905123684,True,True,185.0,32.93238391612203,True,True
4043,295.6000075346644,False,False,185.0000000000004,295.4186120110923,True,False,185.0000000000004,295.41876197057354,True,False
4044,349.68511212270727,False,False,185.0000000000009,349.6112964840252,True,False,185.0000000000009,349.6113280278575,True,False
4045,263.7099049980516,False,False,185.00000000000006,263.3210514061939,True,False,185.00000000000003,263.3216433935533,True,False
4046,545.485546740059,False,False,185.00000000000003,545.474311827398,True,False,185.00000000000003,545.4743133531681,True,False
4047,271.1084548309178,False,False,185.00000000000003,270.79097697279826,True,False,185.00000000000003,270.79138623090137,True,False
4048,75.92119827169256,True,False,185.00000000000003,32.8431262142836,True,True,185.0,32.54589366945975,True,True
4049,457.6454467469076,False,False,185.00000000000003,457.62300625773867,True,False,185.00000000000003,457.62301070769854,True,False
4050,182.70406949960227,True,False,185.0,33.166657062763825,True,True,185.0,32.93166875401465,True,True
4051,351.79389044370896,False,False,185.00000000000023,351.7222003413026,True,False,185.0000000000002,351.7222303508734,True,False
4052,173.40065478696212,True,False,185.0,33.16617118771493,True,True,184.99999999999997,32.93101531352205,True,True
4053,273.5872572136035,False,False,185.00000000000017,273.2893785405268,True,False,185.0000000000001,273.28974313577856,True,False
4054,211.01112656078885,False,False,184.9999999999954,33.16956309669985,True,True,185.00000000000122,32.93990017859531,True,True
4055,453.3713036147933,False,False,185.00000000000023,453.3479838287718,True,False,185.00000000000023,453.347988554716,True,False
4056,99.09287356601384,True,False,185.0,33.085798134706316,True,True,185.0,32.82764152191889,True,True
4057,160.8567490978814,True,False,185.0,33.16494831024446,True,True,185.0,32.92945282337741,True,True
4058,290.8415730531528,False,False,185.00000000000014,290.64145919358623,True,False,185.00000000000009,290.64163771504644,True,False
4059,188.65759237609083,True,False,184.9999999999954,33.166856953748,True,True,184.99999999999895,32.93188301507375,True,True
4060,60.81704623070496,True,False,185.0000000000003,32.29241146434385,True,True,185.0,31.95109341527112,True,True
4061,297.676802394257,False,False,185.0,297.50279271257654,True,False,185.00000000000003,297.502932077507,True,False
4062,460.89849930074513,False,False,184.99999999999997,460.87669806111177,True,False,185.00000000000003,460.8767023243052,True,False
4063,223.2923951138345,False,False,185.00000000000065,220.72466296915624,True,False,185.00000000000043,220.74388286491623,True,False
4064,250.1546989562959,False,False,185.00000000000014,249.55334081464832,True,False,185.0000000000001,249.5546596501614,True,False
4065,263.1070687353188,False,False,185.0,262.7113692073464,True,False,185.0,262.71198035748563,True,False
4066,336.39426851623904,False,False,185.0000000000014,336.3047999471475,True,False,185.0000000000014,336.3048437264492,True,False
4067,375.6353039691298,False,False,185.00000000000128,375.58268041238045,True,False,185.00000000000128,375.582698251137,True,False
4068,210.04482964145527,False,False,185.0,33.16749995527404,True,True,185.0,32.93281435761455,True,True
4069,401.95524770108784,False,False,185.0,401.9164108956143,True,False,185.0,401.916421748946,True,False
4070,184.50949574277251,True,False,185.0,33.16672361715381,True,True,185.0,32.93177337193118,True,True
4071,225.95587236557708,False,False,185.0,223.9000352052589,True,False,185.0,223.91280977234686,True,False
4072,297.8330529604912,False,False,185.0,297.6595813922706,True,False,185.00000000000003,297.65971999649133,True,False
4073,231.5994943627732,False,False,185.00000000000009,230.19613281259356,True,False,185.00000000000009,230.20245950630036,True,False
4074,414.8634765667514,False,False,185.0000000000001,414.829621771633,True,False,185.0000000000001,414.8296303990058,True,False
4075,83.6288454300781,True,False,185.0,32.96473517562737,True,True,185.0,32.68461384832555,True,True
4076,293.5146380974353,False,False,185.00000000000293,293.32536397300976,True,False,185.00000000000293,293.3255257021807,True,False
4077,436.257442826766,False,False,185.00000000000003,436.23009139201025,True,False,185.00000000000003,436.2300975021975,True,False
4078,201.6775128199636,True,False,185.0,33.16713382117415,True,True,185.0,32.93223739128451,True,True
4079,420.2395166451936,False,False,185.0,420.2074796442272,True,False,185.0,420.20748758226654,True,False
4080,385.5952732099436,False,False,185.00000000000003,385.54855722812954,True,False,185.0,385.54857193220823,True,False
4081,283.852754829624,False,False,185.0000000000047,283.619671073231,True,False,185.00000000000477,283.61990553414535,True,False
4082,405.2407432648956,False,False,185.0,405.20326516342664,True,False,185.00000000000003,405.2032753613589,True,False
4083,291.2301239301879,False,False,185.0000000000001,291.03164049555676,True,False,185.00000000000006,291.0318164340854,True,False
4084,107.8967136984793,True,False,185.0,33.118276211012876,True,True,185.0,32.86967450742255,True,True
4085,290.5185902097814,False,False,185.0000000000001,290.3171062872655,True,False,185.00000000000006,290.3172869897991,True,False
4086,155.90701082503372,True,False,185.0,33.16417102902025,True,True,185.0,32.9283292646324,True,True
4087,172.74448585991857,True,False,185.0,33.16612715754567,True,True,185.0,32.93098083640502,True,True
4088,208.2804279509474,True,False,185.0,33.16729418722799,True,True,185.0,32.932516143533604,True,True
4089,212.49337192474616,False,False,185.00000000000128,194.99492911040008,True,False,184.99999999995867,195.81038663962067,True,False
4090,337.325287579194,False,False,185.00000000000085,337.23705936755255,True,False,185.00000000000088,337.2371021022848,True,False
4091,239.6228994940364,False,False,185.00000000001546,238.70011438729182,True,False,185.00000000001552,238.70302747080225,True,False
4092,392.309170684766,False,False,185.00000000000088,392.2659321946912,True,False,185.0000000000009,392.26594507324893,True,False
4093,290.1913226770711,False,False,185.00000000000009,289.9884366415134,True,False,185.00000000000009,289.9886196058676,True,False
4094,189.0302368948142,True,False,184.99999999999804,33.16686718119654,True,True,184.9999999999996,32.93189270428922,True,True
4095,145.80181471891083,True,False,185.0,33.161699948229554,True,True,185.00000000000003,32.925142068393804,True,True
4096,63.783028800857984,True,False,185.0,32.455288002770814,True,True,185.00000000000077,32.12037966360861,True,True
4097,278.4082141244249,False,False,185.00000000000006,278.14367152327645,True,False,185.00000000000006,278.1439658270726,True,False
4098,342.33490774683514,False,False,185.0,342.2529574508266,True,False,184.99999999999997,342.25299517446877,True,False
4099,300.8178249487358,False,False,185.0000000000001,300.65419065635524,True,False,185.00000000000006,300.65431562864006,True,False
4100,381.5086125189919,False,False,185.00000000000006,381.4595891174022,True,False,185.00000000000009,381.459604985362,True,False
4101,411.708567870243,False,False,185.00000000000048,411.6735800885882,True,False,185.00000000000048,411.67358919454875,True,False
4102,170.34648108154423,True,False,185.0,33.16594988762535,True,True,185.00000000000003,32.93067451120736,True,True
4103,230.49439327526716,False,False,185.00000000000097,228.99301615560682,True,False,185.000000000001,229.00018182788904,True,False
4104,321.6479973149889,False,False,185.0000000000001,321.53513508281725,True,False,185.00000000000003,321.53520035885083,True,False
4105,170.60555927469014,True,False,185.0,33.16596981894015,True,True,185.0,32.93071336623194,True,True
4106,267.3005456438926,False,False,185.00000000000705,266.9490245798367,True,False,185.0000000000071,266.9495170526174,True,False
4107,345.24582366430303,False,False,185.00000000000003,345.16723766768314,True,False,185.00000000000003,345.16727272817644,True,False
4108,205.87395464748911,True,False,184.99999999999997,33.16721314166756,True,True,185.0,32.93238962779707,True,True
4109,422.3158005247809,False,False,185.00000000000003,422.28442989873815,True,False,185.0,422.284437572956,True,False
4110,111.89210463129588,True,False,185.0,33.12832671602339,True,True,185.00000000000003,32.88266349549884,True,True
4111,375.4432302304989,False,False,185.00000000000128,375.3904828688372,True,False,185.00000000000128,375.3905007760407,True,False
4112,553.9717627515853,False,False,185.0,553.9611684242425,True,False,185.0,553.9611698361963,True,False
4113,339.18086588484,False,False,185.00000000000017,339.0950389962525,True,False,185.00000000000017,339.09507975867814,True,False
4114,317.2337335537358,False,False,185.0,317.1121975625173,True,False,185.0,317.11227182123054,True,False
4115,325.91681676447337,False,False,185.00000000000074,325.81153443941355,True,False,185.00000000000077,325.811592334527,True,False
4116,53.3824924612097,True,False,185.0,31.645853679905226,True,True,185.00000000000003,31.308712150047352,True,True
4117,345.2204632673355,False,False,185.00000000000006,345.1418488000451,True,False,185.00000000000003,345.1418838822997,True,False
4118,490.1861246109125,False,False,185.0,490.1691042393866,True,False,185.0,490.16910716570953,True,False
4119,565.3685636337425,False,False,185.00000000000009,565.3587543371003,True,False,185.0000000000001,565.3587555248704,True,False
4120,363.4400657011165,False,False,185.00000000000074,363.37870819074993,True,False,185.00000000000074,363.37873128109635,True,False
4121,322.8986748592916,False,False,185.00000000000287,322.7881109259036,True,False,185.00000000000287,322.78817393404125,True,False
4122,255.2304743675474,False,False,185.0000000000003,254.72568954665329,True,False,185.0000000000003,254.72664464884303,True,False
4123,521.380825172163,False,False,185.0,521.3674597321778,True,False,185.00000000000003,521.3674617190985,True,False
4124,333.5851455018875,False,False,185.00000000000006,333.4917831922881,True,False,185.00000000000006,333.4918302538761,True,False
4125,285.8913008419078,False,False,185.00000000000105,285.66860222733385,True,False,185.00000000000105,285.66881828142755,True,False
4126,208.96947460872812,True,False,185.0,33.16733861121039,True,True,185.0,32.93258190496873,True,True
4127,166.02204542742422,True,False,185.00000000000352,33.16556083206626,True,True,184.99999999999704,32.93017515302926,True,True
4128,342.9322302952112,False,False,185.00000000000003,342.8509865179401,True,False,185.00000000000003,342.85102369156493,True,False
4129,354.57933578862475,False,False,185.0,354.5103249093623,True,False,185.0,354.510353077004,True,False
4130,212.8340322032981,False,False,185.0000000000005,197.80382135989709,True,False,185.0000000000001,198.41151957673614,True,False
4131,326.8675772950848,False,False,185.00000000000028,326.76388517252605,True,False,185.0000000000003,326.7639415656681,True,False
4132,276.32995760719325,False,False,185.00000000000327,276.0517530417172,True,False,185.0000000000033,276.05207531346434,True,False
4133,343.4493098155072,False,False,185.00000000000003,343.36867080656907,True,False,185.0,343.36870749627434,True,False
4134,116.77006808132349,True,False,185.0,33.137828404256695,True,True,185.0,32.89468563071016,True,True
4135,487.3064257388624,False,False,185.0,487.28900246186106,True,False,185.0,487.289005497593,True,False
4136,441.3126161400928,False,False,185.0,441.28654837323035,True,False,185.0,441.2865540888727,True,False
4137,51.23962382808176,True,False,184.99999999999866,31.361075991200646,True,True,184.9999999999979,31.033166702526444,True,True
4138,176.15250863502231,True,False,184.99999999999997,33.16634293095279,True,True,185.00000000000009,32.931219774166095,True,True
4139,273.1138786617254,False,False,185.00000000000014,272.81239778759596,True,False,185.0000000000001,272.81277041373704,True,False
4140,306.1133661437919,False,False,185.00000000000003,305.9653180712965,True,False,185.00000000000003,305.9654228854406,True,False
4141,149.36778354644207,True,False,184.9999999999932,33.16273971576631,True,True,184.9999999999943,32.9265034713765,True,True
4142,569.3576986636378,False,False,185.00000000000009,569.3481456088675,True,False,185.00000000000006,569.3481467836313,True,False
4143,350.6204334231123,False,False,185.0000000000005,350.54757121599755,True,False,185.00000000000057,350.5476020617106,True,False
4144,389.38656668040886,False,False,185.00000000000006,389.3418598004568,True,False,185.0,389.34187340046475,True,False
4145,243.652555822012,False,False,185.00000000000017,242.87896911893927,True,False,185.0000000000001,242.88107035432753,True,False
4146,165.75306029603925,True,False,185.0,33.16553362351148,True,True,185.00000000000625,32.93014981312969,True,True
4147,293.8094837251898,False,False,185.00000000000247,293.62135308967356,True,False,185.0000000000025,293.62151308389724,True,False
4148,231.9641330441631,False,False,185.0000000000002,230.5908185700096,True,False,185.00000000000017,230.59689749638122,True,False
4149,585.591729417047,False,False,185.0,585.5831309143591,True,False,185.00000000000003,585.5831319913501,True,False
4150,420.65644560278906,False,False,185.0,420.6245439505006,True,False,185.0,420.62455184080153,True,False
4151,518.5530721701623,False,False,185.0,518.5394219348824,True,False,185.0,518.5394240346305,True,False
4152,218.7958609901734,False,False,185.00000000000054,214.62398492576588,True,False,185.0000000000004,214.6715051634533,True,False
4153,344.46162080116864,False,False,185.00000000000006,344.3821477187774,True,False,185.00000000000003,344.38218347660415,True,False
4154,401.2565773850952,False,False,185.00000000000003,401.21744297984054,True,False,185.0,401.21745395078824,True,False
4155,313.7907331865409,False,False,185.0000000000017,313.66176313404065,True,False,185.00000000000173,313.66184547823696,True,False
4156,328.2311229067923,False,False,185.00000000000003,328.1296530041942,True,False,185.0,328.1297073442934,True,False
4157,166.7065564205637,True,False,184.9999999999999,33.16562810393691,True,True,185.0,32.930260122583206,True,True
4158,356.81168422167804,False,False,185.00000000000003,356.7447211634695,True,False,185.00000000000006,356.74474794881513,True,False
4159,446.0977404678063,False,False,185.0,446.07281339003066,True,False,185.0,446.0728186287719,True,False
4160,500.27707443613616,False,False,185.00000000000023,500.26137016204206,True,False,185.0000000000002,500.2613726683341,True,False
4161,182.47926186936385,True,False,185.0,33.1666476446542,True,True,185.0,32.93165163437796,True,True
4162,372.261136929526,False,False,185.00000000000006,372.20627858159486,True,False,185.0,372.206297730388,True,False
4163,272.97636568548967,False,False,185.00000000000014,272.67382634497363,True,False,185.00000000000009,272.67420134537286,True,False
4164,332.1522550863299,False,False,185.00000000000003,332.0568147269692,True,False,185.00000000000003,332.0568636210546,True,False
4165,277.1494429793647,False,False,185.00000000000153,276.87674647000244,True,False,185.00000000000156,276.8770573049839,True,False
4166,184.43758695793727,True,False,185.0,33.16672122765007,True,True,185.0,32.931770720858594,True,True
4167,326.3943934028606,False,False,185.0000000000005,326.28991411052465,True,False,185.0000000000005,326.28997124229295,True,False
4168,433.4913421431416,False,False,185.00000000000017,433.4632516255848,True,False,185.00000000000017,433.46325799887927,True,False
4169,401.22862724148354,False,False,185.0,401.1894808658768,True,False,185.0,401.1894918417507,True,False
4170,328.00204357719633,False,False,185.0,327.90020504539575,True,False,185.0,327.900259723905,True,False
4171,202.20004952096977,True,False,185.0,33.167142547615626,True,True,185.0,32.93225357971954,True,True
4172,362.3434890730642,False,False,185.0000000000011,362.2812502747298,True,False,185.0000000000011,362.28127392581206,True,False
4173,156.06996184221143,True,False,185.0,33.164200812330414,True,True,185.0,32.928358515630435,True,True
